State or other,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010, 2011,2012,2013,2014,2015,2016,2017,2018
Alabama,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Alaska,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84
Arizona,...,...,...,...,...,...,...,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5
Arkansas,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15 [c],6.25[c], 6.25[c] , 6.25[c] ,6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],7.50[c],8.00[c],8.50[c],8.50[c]
California,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9,9,10,10,11
Colorado,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2
Connecticut,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1
Delaware,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25
District of Columbia,6.15,6.15,6.15,6.15,6.15,6.6,7,7,7,7.55,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25
Florida,...,...,...,...,...,...,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25
Georgia,3.25(d),3.25(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1
Idaho,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,5.15[c],5.15[c],5.15[c],5.15[c],5.50[c],6.50[c],6.50[c],6.50[c],7.50[c],7.75[c],8.00[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c]
Indiana,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.85(e),6.55(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Maine,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10
Maryland,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1
Massachusetts,6,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8,9,10,11,11
Michigan,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),6.95(e),7.15(e),7.40(e),7.40(e),7.40(e),7.40(e),7.40(e),8.15(e),8.15(e),8.50(e),8.90(e),9.25(e)
Minnesota,4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),5.25 - 6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),6.50-8.00(g),7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g)
Mississippi,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Missouri,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85
Montana,4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15,4.00-6.15(g),4.00-6.25(g),4.00-6.90(g),4.00-7.25(g),4.00-7.35(g),4.00-7.65(g),4.00-7.80(g),7.90(g),8.05(g),8.05(g),8.15(g),8.30(g)
Nebraska,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],8.00[c],9.00[c],9.00[c],9.00[c]
Nevada,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.55-6.85,6.55-7.55,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6
New Mexico,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
New York,4.25,5.15,5.15,5.15,5.15,6,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8,8.75,9,9.7,10.4
North Carolina,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),6.85,7,7.3,7.3,7.4,7.7,7.85,7.25-7.95,7.25-8.10,7.25-8.10,8.15,8.3
Oklahoma,2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15,2.00-5.15(g),2.00-5.85(g),2.00-6.55(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75
Pennsylvania,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8,9,9.6,9.6,10.1
South Carolina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
South Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65,8.85
Tennessee,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Texas,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,5.75(e),6.25(e),6.25(e),6.25(e),6.75(e),7.00(e),7.25,7.53(e) ,7.68(e),8.06(e),8.06(e),8.15(e),8.46(e),8.60(e),8.73(e),9.15(e),9.60(e),10.00(e),10.50(e)
Virginia,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11,11.5
West Virginia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8,8.75,8.75,8.75
Wisconsin,5.15,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,1.6,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
